,school,accred,school_type,address,latitude,longitude,eng_acad_ach,math_acad_ach,sci_acad_ach,eng_ach_gap,math_ach_gap,chro_abs,dropout_rate,grad_rate,econ_disadv,disabilities,black,hispanic,white,eng_learners,grad_rate.1,dropout_rate.1,zip,51 Zip,Month Date,Month Diff,Month Rate Scale Max,month_filings,Zipcode,2022 Evict,2022 File,Month Rate,Pct Black,Pct Latinx,Pct White,Q 2 Evict,Q1 Evict,Q1 File,Q2 File,Q3 Evict,Q3 File,Q4 Evict,Q4 File
0,Barack Obama Elementary,Accredited,Elementary,"3101 Fendall Ave Richmond, VA 23222-2699",37.57376,-77.43577,1,1,1.0,2.0,1,1,,,,,,,,,,,23222,5123222.0,1/5/2022,0.517957166,0.378933851,785.0,23222,256,605,16.1%,0.822072072,0.03030303,0.114660115,32,13,51,66,116,241,95,247
1,Overby-Sheppard Elementary,Accredited with Conditions,Elementary,"2300 1st Ave Richmond, VA 23222-4699",37.56492,-77.42473,1,1,3.0,1.0,2,2,,,85.1,,,,,,,,23222,5123222.0,1/5/2022,0.517957166,0.378933851,785.0,23222,256,605,16.1%,0.822072072,0.03030303,0.114660115,32,13,51,66,116,241,95,247
2,Richmond Community High,Accredited,High,"201 E Brookland Park Boulevard Richmond, VA 23222-2722",37.56838,-77.43025,1,1,1.0,1.0,1,1,1.0,1.0,36.5,0.5,57.5,9.5,25.5,1.5,100.0,0.0,23222,5123222.0,1/5/2022,0.517957166,0.378933851,785.0,23222,256,605,16.1%,0.822072072,0.03030303,0.114660115,32,13,51,66,116,241,95,247
3,Bellevue Elementary,Accredited with Conditions,Elementary,"2301 E Grace St Richmond, VA 23223-7151",37.53117,-77.4214,1,2,3.0,1.0,3,2,,,,,,,,,,,23223,5123223.0,1/5/2022,0.692456875,0.378933851,1695.0,23223,491,1237,13.8%,0.67364832,0.016885858,0.267413541,49,42,139,210,235,457,165,431
4,Chimborazo Elementary,Accredited with Conditions,Elementary,"3000 E Marshall St Richmond, VA 23223-7499",37.53018,-77.41302,3,1,3.0,2.0,2,2,,,80.8,8.3,78.7,4.9,10.6,,,,23223,5123223.0,1/5/2022,0.692456875,0.378933851,1695.0,23223,491,1237,13.8%,0.67364832,0.016885858,0.267413541,49,42,139,210,235,457,165,431
5,Fairfield Court Elementary,Accredited,Elementary,"2510 Phaup St Richmond, VA 23223-4199",37.54958,-77.4007,2,1,3.0,2.0,1,3,,,96.4,10.0,91.6,5.6,0.0,,,,23223,5123223.0,1/5/2022,0.692456875,0.378933851,1695.0,23223,491,1237,13.8%,0.67364832,0.016885858,0.267413541,49,42,139,210,235,457,165,431
6,Henry Marsh III Elementary,Accredited with Conditions,Elementary,"813 N 28th St Richmond, VA 23223-6699",37.53421,-77.41171,2,3,3.0,3.0,3,2,,,91.7,10.1,92.5,2.4,2.2,,,,23223,5123223.0,1/5/2022,0.692456875,0.378933851,1695.0,23223,491,1237,13.8%,0.67364832,0.016885858,0.267413541,49,42,139,210,235,457,165,431
7,Woodville Elementary,Accredited with Conditions,Elementary,"2000 N 28th St Richmond, VA 23223-4599",37.54586,-77.40137,3,3,3.0,2.0,3,3,,,95.1,15.4,93.6,1.5,1.5,0.7,,,23223,5123223.0,1/5/2022,0.692456875,0.378933851,1695.0,23223,491,1237,13.8%,0.67364832,0.016885858,0.267413541,49,42,139,210,235,457,165,431
8,Martin Luther King Jr. Middle,Accredited with Conditions,Middle,"1000 Mosby St Richmond, VA 23223-5099",37.54271,-77.42,3,3,3.0,3.0,3,3,,,93.8,22.0,90.6,2.0,2.0,1.8,,,23223,5123223.0,1/5/2022,0.692456875,0.378933851,1695.0,23223,491,1237,13.8%,0.67364832,0.016885858,0.267413541,49,42,139,210,235,457,165,431
9,Armstrong High,Accredited with Conditions,High,"2300 Cool Lane Richmond, VA 23223-4196",37.55241,-77.40312,2,3,3.0,3.0,3,3,2.0,3.0,85.4,27.3,90.2,4.2,3.1,1.6,75.7,16.58,23223,5123223.0,1/5/2022,0.692456875,0.378933851,1695.0,23223,491,1237,13.8%,0.67364832,0.016885858,0.267413541,49,42,139,210,235,457,165,431
