zipcode,q1_file,q1_evict,q2_file,q_2_evict,q3_file,q3_evict,q4_file,q4_evict,2022_file,2022_evict,51_zip
23219,51,6,60,23,202,82,162,32,475,143,5123219
23220,62,19,91,41,246,89,253,88,652,237,5123220
23221,6,2,11,5,30,12,22,4,69,23,5123221
23222,51,13,66,32,241,116,247,95,605,256,5123222
23223,139,42,210,49,457,235,431,165,1237,491,5123223
23224,230,62,346,135,917,448,897,321,2390,966,5123224
23225,333,113,567,127,808,417,1010,311,2718,968,5123225
23226,1,0,5,2,3,1,5,3,14,6,5123226
23227,18,4,39,4,30,16,103,40,190,64,5123227
23230,6,1,6,2,40,12,59,13,111,28,5123230
23231,46,13,25,8,88,43,62,14,221,78,5123231
23234,69,16,38,12,127,80,72,27,306,135,5123234
23235,2,0,7,5,16,7,17,10,42,22,5123235
Other?,159,45,122,28,48,28,109,51,438,152,
