type,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
Zip Code,23112,White,20-Jan,41,59,4/8/2023
Zip Code,23112,White,20-Feb,31,52.25,4/8/2023
Zip Code,23112,White,20-Mar,19,43.5,4/8/2023
Zip Code,23112,White,20-Apr,0,43.75,4/8/2023
Zip Code,23112,White,20-May,5,49,4/8/2023
Zip Code,23112,White,20-Jun,8,49.5,4/8/2023
Zip Code,23112,White,20-Jul,9,49.5,4/8/2023
Zip Code,23112,White,20-Aug,6,51,4/8/2023
Zip Code,23112,White,20-Sep,24,49.75,4/8/2023
Zip Code,23112,White,20-Oct,15,50,4/8/2023
Zip Code,23112,White,20-Nov,3,54.25,4/8/2023
Zip Code,23112,White,20-Dec,3,49.75,4/8/2023
Zip Code,23112,White,21-Jan,4,59,4/8/2023
Zip Code,23112,White,21-Feb,7,52,4/8/2023
Zip Code,23112,White,21-Mar,6,43.5,4/8/2023
Zip Code,23112,White,21-Apr,1,43.75,4/8/2023
Zip Code,23112,White,21-May,3,49,4/8/2023
Zip Code,23112,White,21-Jun,4,49.5,4/8/2023
Zip Code,23112,White,21-Jul,0,49.5,4/8/2023
Zip Code,23112,White,21-Aug,5,51,4/8/2023
Zip Code,23112,White,21-Sep,2,49.75,4/8/2023
Zip Code,23112,White,21-Oct,14,50,4/8/2023
Zip Code,23112,White,21-Nov,8,54.25,4/8/2023
Zip Code,23112,White,21-Dec,16,49.75,4/8/2023
Zip Code,23112,White,22-Jan,49,59,4/8/2023
Zip Code,23112,White,22-Feb,28,52,4/8/2023
Zip Code,23112,White,22-Mar,25,43.5,4/8/2023
Zip Code,23112,White,22-Apr,22,43.75,4/8/2023
Zip Code,23112,White,22-May,27,49,4/8/2023
Zip Code,23112,White,22-Jun,45,49.5,4/8/2023
Zip Code,23112,White,22-Jul,46,49.5,4/8/2023
Zip Code,23112,White,22-Aug,75,51,4/8/2023
Zip Code,23112,White,22-Sep,62,49.75,4/8/2023
Zip Code,23112,White,22-Oct,65,50,4/8/2023
Zip Code,23112,White,22-Nov,50,54.25,4/8/2023
Zip Code,23112,White,22-Dec,67,49.75,4/8/2023
Zip Code,23112,White,23-Jan,56,59,4/8/2023
Zip Code,23112,White,23-Feb,84,52,4/8/2023
Zip Code,23112,White,23-Mar,46,43.5,4/8/2023
Zip Code,23112,White,23-Apr,1,1.25,4/8/2023
Zip Code,23113,White,20-Jan,3,12,4/8/2023
Zip Code,23113,White,20-Feb,3,7.5,4/8/2023
Zip Code,23113,White,20-Mar,2,9,4/8/2023
Zip Code,23113,White,20-Apr,0,9.75,4/8/2023
Zip Code,23113,White,20-May,1,11.75,4/8/2023
Zip Code,23113,White,20-Jun,0,9.25,4/8/2023
Zip Code,23113,White,20-Jul,5,7.75,4/8/2023
Zip Code,23113,White,20-Aug,6,9.75,4/8/2023
Zip Code,23113,White,20-Sep,6,8.25,4/8/2023
Zip Code,23113,White,20-Oct,10,6.25,4/8/2023
Zip Code,23113,White,20-Nov,0,7.25,4/8/2023
Zip Code,23113,White,20-Dec,0,10.5,4/8/2023
Zip Code,23113,White,21-Jan,5,12,4/8/2023
Zip Code,23113,White,21-Feb,3,7.5,4/8/2023
Zip Code,23113,White,21-Mar,2,9,4/8/2023
Zip Code,23113,White,21-Apr,0,9.75,4/8/2023
Zip Code,23113,White,21-May,3,11.75,4/8/2023
Zip Code,23113,White,21-Jun,0,9.25,4/8/2023
Zip Code,23113,White,21-Jul,2,7.75,4/8/2023
Zip Code,23113,White,21-Aug,4,9.75,4/8/2023
Zip Code,23113,White,21-Sep,1,8.25,4/8/2023
Zip Code,23113,White,21-Oct,2,6.25,4/8/2023
Zip Code,23113,White,21-Nov,2,7.25,4/8/2023
Zip Code,23113,White,21-Dec,5,10.5,4/8/2023
Zip Code,23113,White,22-Jan,4,12,4/8/2023
Zip Code,23113,White,22-Feb,7,7.5,4/8/2023
Zip Code,23113,White,22-Mar,15,9,4/8/2023
Zip Code,23113,White,22-Apr,1,9.75,4/8/2023
Zip Code,23113,White,22-May,19,11.75,4/8/2023
Zip Code,23113,White,22-Jun,17,9.25,4/8/2023
Zip Code,23113,White,22-Jul,16,7.75,4/8/2023
Zip Code,23113,White,22-Aug,12,9.75,4/8/2023
Zip Code,23113,White,22-Sep,13,8.25,4/8/2023
Zip Code,23113,White,22-Oct,12,6.25,4/8/2023
Zip Code,23113,White,22-Nov,10,7.25,4/8/2023
Zip Code,23113,White,22-Dec,34,10.5,4/8/2023
Zip Code,23113,White,23-Jan,24,12,4/8/2023
Zip Code,23113,White,23-Feb,25,7.5,4/8/2023
Zip Code,23113,White,23-Mar,17,9,4/8/2023
Zip Code,23113,White,23-Apr,0,0,4/8/2023
Zip Code,23114,White,20-Jan,11,16,4/8/2023
Zip Code,23114,White,20-Feb,3,9,4/8/2023
Zip Code,23114,White,20-Mar,1,11,4/8/2023
Zip Code,23114,White,20-Apr,0,13.25,4/8/2023
Zip Code,23114,White,20-May,0,13.25,4/8/2023
Zip Code,23114,White,20-Jun,0,7,4/8/2023
Zip Code,23114,White,20-Jul,4,11,4/8/2023
Zip Code,23114,White,20-Aug,5,8,4/8/2023
Zip Code,23114,White,20-Sep,8,15,4/8/2023
Zip Code,23114,White,20-Oct,13,10.75,4/8/2023
Zip Code,23114,White,20-Nov,1,12.75,4/8/2023
Zip Code,23114,White,20-Dec,0,8.75,4/8/2023
Zip Code,23114,White,21-Jan,1,16,4/8/2023
