51 Zip,Id,Month Date,Month Diff,Month Rate Scale Max,month_filings,Zipcode,2022 Evict,2022 File,Month Rate,Pct Black,Pct Latinx,Pct White,Q 2 Evict,Q1 Evict,Q1 File,Q2 File,Q3 Evict,Q3 File,Q4 Evict,Q4 File
5123219,23219,1/5/2022,1.679012346,0.378933851,611,23219,143,475,22.9%,0.368873924,0.023569024,0.508417508,23,6,51,60,82,202,32,162
5123220,23220,1/5/2022,0.717457887,0.378933851,936,23220,237,652,10.8%,0.276635082,0.031199445,0.627802172,41,19,62,91,89,246,88,253
5123221,23221,1/5/2022,0.834080717,0.378933851,92,23221,23,69,2.7%,0.084730803,0.016475434,0.82818476,5,2,6,11,12,30,4,22
5123222,23222,1/5/2022,0.517957166,0.378933851,785,23222,256,605,16.1%,0.822072072,0.03030303,0.114660115,32,13,51,66,116,241,95,247
5123223,23223,1/5/2022,0.692456875,0.378933851,1695,23223,491,1237,13.8%,0.67364832,0.016885858,0.267413541,49,42,139,210,235,457,165,431
5123224,23224,1/5/2022,0.822699994,0.378933851,3529,23224,966,2390,38.2%,0.632359307,0.133225108,0.16461039,135,62,230,346,448,917,321,897
5123225,23225,1/5/2022,0.972319733,0.378933851,4223,23225,968,2718,42.4%,0.543620118,0.066961148,0.315129003,127,113,333,567,417,808,311,1010
5123226,23226,1/5/2022,0.767123288,0.378933851,13,23226,6,14,0.8%,0.12755716,0.089651023,0.691937425,2,0,1,5,1,3,3,5
5123227,23227,1/5/2022,0.197234716,0.378933851,295,23227,64,190,5.3%,0.613570914,0.03437725,0.323434125,4,4,18,39,16,30,40,103
5123230,23230,1/5/2022,1.797752809,0.378933851,159,23230,28,111,9.1%,0.230900798,0.076396807,0.658494869,2,1,6,6,12,40,13,59
5123231,23231,1/5/2022,0.477548864,0.378933851,225,23231,78,221,5.0%,0.723104056,0.020502646,0.240079365,8,13,46,25,43,88,14,62
5123234,23234,1/5/2022,0.792456156,0.378933851,2247,23234,135,306,32.2%,0.545311156,0.202753083,0.201605965,12,16,69,38,80,127,27,72
5123235,23235,1/5/2022,0.725225225,0.378933851,321,23235,22,42,8.5%,0.270960873,0.084642002,0.582911898,5,0,2,7,7,16,10,17
,,,,,,Other?,152,438,,,,,28,45,159,122,28,48,51,109
